Ari,30,15,30,14.9,30,21.6,30,4.9,30,8.1,30,5.3
NYJ,26,19.6,26,11.4,26,28.3,26,8.8,26,9.3,26,5.8
Ind,14,17.6,14,19.6,14,26.1,14,9.6,14,8.8,14,8.6
Pit,20,17.4,20,13.9,20,25.3,20,10.6,20,8.7,20,7
Cin,31,15.1,31,18.4,31,19,31,6.4,31,7.4,31,4.6
Sea,3,14.1,3,11.8,3,11.7,3,11.1,3,7.6,3,11.6
StL,13,12.4,13,17.2,13,15,13,5.9,13,8.9,13,9.1
Ten,1,17.8,1,14.2,1,23.5,1,9.8,1,4.6,1,13.5
NO,18,24.5,18,20.3,18,26.8,18,12.7,18,9,18,7.7
Car,25,15.6,25,19.3,25,19.3,25,7.6,25,8.1,25,5.9
Den,9,9.8,9,17.6,9,12.9,9,7.1,9,6.6,9,10.1
Atl,29,14.3,29,20.7,29,15.7,29,10.6,29,6.2,29,5.3
Chi,4,18.5,4,17.4,4,23.5,4,5.4,4,9.5,4,10.8
Det,11,19.7,11,23.7,11,24.5,11,9,11,10.5,11,9.6
Phi,22,16.1,22,13.7,22,28.4,22,4.5,22,8.6,22,6.8
Jax,2,18.8,2,21.2,2,24,2,7.2,2,10.8,2,12
KC,19,17,19,15.7,19,32,19,4.5,19,7.4,19,7.4
SF,5,17.9,5,21.7,5,26.4,5,7.5,5,7.4,5,10.6
Was,8,16.8,8,18.8,8,25.2,8,5.6,8,8.3,8,10.1
Oak,28,19.6,28,19.3,28,23.6,28,13.4,28,11,28,5.6
SD,15,17.4,15,24.5,15,19.4,15,9.7,15,9.1,15,8.4
Buf,16,17,16,19.3,16,25.4,16,6.7,16,6.6,16,8.1
NYG,24,19.1,24,19.9,24,24.1,24,11.1,24,9.3,24,6.1
Min,23,14.5,23,15,23,19.3,23,8.2,23,8.1,23,6.3
TB,12,19.3,12,17.1,12,26.7,12,7.5,12,8.3,12,9.6
Hou,10,18.3,10,21.1,10,22.9,10,7.4,10,7.1,10,9.9
Dal,7,15.3,7,24,7,18.2,7,6.4,7,10.3,7,10.3
Cle,6,18.6,6,21.8,6,25.4,6,9.1,6,8.3,6,10.6
NE,32,19.7,32,16.3,32,28.5,32,6,32,7.3,32,3.3
GB,27,17.5,27,17.8,27,21.7,27,9.3,27,8,27,5.8
Mia,17,17.8,17,22.6,17,26,17,7,17,7.8,17,8
Bal,21,21.9,21,16.9,21,31.6,21,4.9,21,11.9,21,6.9
